Song-Name,Singer/Artists,Genre
Mujhe Ek Pal Chain,"Alka Yagnik, Hariharan, Jaswinder Narula",Dance
Kuch Iss Tarah,Arnab Dutta,Sad
Gazab Ka Hai Din,"Jubin Nautiyal, Prakriti Kakkar",Romantic
Tu Jaane Na,Atif Aslam,Romantic
Tumne Agar Pyar Se – Female,Alka Yagnik,Dance
Stay A Little Longer,Anushka Shahaney,Sad
Badtameez Dil,Benny Dayal,Dance
Chand Sifarish,"Kailash Kher, Shaan",Romantic
Is Pyar Se Meri Taraf Na Dekho,"Alka Yagnik, Kumar Sanu",Romantic
Aaj Unse Milna Hai,Shaan,DanceRomantic
Tere Bin Nahi Laage,Uzair Jaswal,RomanticSad
Yaar Na Miley,"Jasmine Sandlas, Yo Yo Honey Singh",Dance
Main Rang Sharbaton Ka,Atif Aslam,Romantic
Raazi Title Track,Arijit Singh,Motivational
Hum Tumhe Chahte Hai Aise,"Anand Kumar C, Kanchan, Manhar Udhas",Romantic
Ittefaq Se Raat Baaki,"Jubin Nautiyal, Nikhita Gandhi",Dance
Oye Oye,"Aditi Singh Sharma, Armaan Malik",Dance
Sooraj Dooba Hai,"Adit Singh Sharma, Arijit Singh",Dance
Will You Marry me,"Divya Kumar, Jonita Gandhi",Dance
Tera Hoke Rahoon,Arijit Singh,Romantic
Aa Re Pritam Pyaare,"Mamta Sharma, Sarosh Sami",Dance
Mehboob Mere Mehboob Mere,"Lata Mangeshkar, Mukesh",Romantic
Dil Mein Chhupa Loonga,"Armaan Malik, Meet Bros, Tulsi Kumar",RomanticSensual
Dance Basanti,"Anushka Manchanda, Vishal Dadlani",Dance
Teri Meri Prem Kahani,"Rahat Fateh Ali Khan, Shreya Ghoshal",Sad
Lungi Dance,Yo Yo Honey Singh,Dance
Jeena Jeena,Atif Aslam,RomanticSad
Thare Vaaste,Divya Kumar,Patriotic
Maine Socha Ke Chura Loon,"Arijit Singh, Shreya Ghoshal",Romantic
Mar Gaye,"Manj Musik, Nindy Kaur",Dance
Cutiepie,"Nakash Aziz, Pardeep Singh Sran",Dance
Lipstick Laga Ke,"Payal Dev, Shaan",Dance
Laila,"Anand Raaj Anand, Mika Singh, Sunidhi Chauhan",Dance
Tu Mera Hero,"Mika, Shefali Alvaris",Dance
A Flying Jatt,"Mansheel Gujral, Raftaar, Tanishkaa",Dance
World Dance Medley,"K.K., Neeti Mohan, Shankar Mahadevan, Sukhwinder Singh, Vishal Dadlani",DanceRomantic
Qayamat,"Alka Yagnik, Sukhwinder Singh",Dance
Matargashti,Mohit Chauhan,Dance
Pehla Nasha Once Again,"Jubin Nautiyal, Palak Muchhal",Romantic
Raj Karega Khalsa,"Daler Mehndi, Navraj Hans",Motivational
Punjabi Wedding Song,"Benny Dayal, Sunidhi Chauhan",Dance
Rabba Ishq Na Hove,"Alka Yagnik, Kailash Kher, Sapna Mukherjee, Sonu Nigam",Sad
Tumhi Ho Bandhu,"Kavita Seth, Neeraj Shridhar",Dance
Saans,"Mohit Chauhan, Shreya Ghoshal",Romantic
Besharmi Ki Height,"Benny Dayal, Shalmali Kholgade",Dance
Mere Rashke Qamar,Tulsi Kumar,DanceSad
Besabriyaan,Armaan Malik,
Tu Hai Ki Nahin,Ankit Tiwari,Sad
Aaj Ki Party,Mika Singh,Dance
Saaton Janam Main Tere,"Alka Yagnik, Kumar Sanu",Romantic
Allah Kare Dil Na Lage,"Alka Yagnik, Sonu Nigam",Romantic
Ye Jo Teri Paylon Ki,"Abhijeet, Sadhana Sargam",Dance
Tum,Atif Aslam,Romantic
Radha Nachegi,"Danish Sabri, Ritu Pathak, Shabab Sabri",Dance
Itni Si Baat Hai,"Antara Mitra, Arijit Singh",Romantic
Laagi Na Choote,"Arijit Singh, Shreya Ghoshal",Romantic
Sab Tera,"Armaan Malik, Shraddha Kapoor",Romantic
Mashallah,"Shreya Ghoshal, Wajid",Dance
Taaron Ka Chamakta,"Bali Brahambhatt, Udit Narayan",Dance
Sau Tarah Ke,"Amit Mishra, Jonita Gandhi",Dance
Gulabi Aankhen,Mohammed Rafi,DanceRomantic
Gulaabo,"Anusha Mani, Vishal Dadlani",Dance
Ya Ali,Zubeen Garg,Sad
Lahu Munh Lag Gaya,Shail Hada,Dance
Yeh Kasoor Mera Hai,Sonu Kakkar,RomanticSadSensual
Shanivaar Raati,"Arijit Singh, Shalmali Kholgade",Dance
Tere Dil Mein,Armaan Malik,Sad
Jab Haal E Dil Tumse Kehne Ko,Alka Yagnik,Dance
Tattad Tattad,Aditya Narayan,Dance
Mohe Rang Do Laal,"Pandit Birju Maharaj, Shreya Ghoshal",Romantic
Ek Haseena Thi,"Himesh Reshammiya, Shreya Ghoshal",Dance
Kahin Pyaar Na Ho Jaye,"Alka Yagnik, Kumar Sanu",Romantic
Ek Do Teen,Alka Yagnik,Dance
Maahi Ve,"Sadhana Sargam, Shankar Mahadevan, Sonu Nigam, Udit Narayan",Dance
Tere Mere,Armaan Malik,Sad
Allah Maaf Kare,"Shilpa Rao, Sonu Nigam",DanceRomantic
Le Le Maza Le,"Hrishikesh Kamerkar, Nikita Nigam, Soumya Raoh, Suzanne D'Mello",Dance
Jaa Sajna Tujhko Bhula,"Alka Yagnik, Udit Narayan",Sad
Nazar Se Nazar Mile,Rahat Fateh Ali Khan,Romantic
Gandi Baat,"Kalpana Patowary, Mika Singh",Dance
Sarphiri,"Babul Supriyo, Shreya Ghoshal",Romantic
Mere Sapno Ki Rani,Kishore Kumar,DanceRomantic
Dum Dum,"Benny Dayal, Himani Kapoor",Dance
Sari Duniya Ka Boj,Shabbir Kumar,Dance
Pink Lips,"Anjjan, Khushhboo Grewal, Meet Bros",Dance
Pee Loon,Mohit Chauhan,Romance
Khali Khali Dil,"Armaan Malik, Payal Dev",Romantic
Hare Krishna Hare Ram,"Armaan Malik, Ritika",Dance
Single Rehne De,"Divya Kumar, Shalmali Kholgade",Dance
Jhak Maar Ke,"Harshdeep Kaur, Neeraj Shridhar",Dance
Naa Jaane,"Anushka Manchanda, Neeraj Shridhar",Dance
Party On My Mind,"K.K., Shefali Alvares, Yo Yo Honey Singh",Dance
Kajra Re,"Alisha Chinai, Javed Ali, Shankar Mahadevan",Dance
Likhe Jo Khat Tujhe,Mohammed Rafi,Dance
Jhanjariya,Abhijeet,Dance
O Saathi Re Tere Bina,"Anjaan, Kishore Kumar",Sad
Tare Hain Barati,"Jaspinder Narula, Kumar Sanu",Dance
Tu Zaroorat Nahi Tu Zaroori Hai,"Gandharv Sachdev, Shreya Ghoshal",Sad
Iski Uski,"Akriti Kakar, Shahid Mallya",Dance
Chote Chote Bhaiyon Ke Bade Bhaiya,"Kavita Krishnamurthy, Kumar Sanu, Udit Narayan",Dance
Saiyaan Superstar,Tulsi Kumar,Dance
Every Night & Day,"Himesh Reshammiya, Iulia Vantur",Dance
Photocopy,"Himesh Reshammiya, Keerthi Sagathia, Palak Muchhal",Dance
Dil Tu Hi Bataa,"Alisha Chinai, Zubeen Garg",Romantic
Beech Beech Mein,"Arijit Singh, Shalmali Kholgade, Shefali Alvares",Dance
Aakhon Aakhon,Yo Yo Honey Singh,Dance
Kabhi Alvida Naa Kehna Title Track,"Alka Yagnik, Sonu Nigam",RomanticSad
All Izz Well,"Shaan, Sonu Nigam, Swanand Kirkire",Dance
Chandralekha,"Jonita Gandhi, Vishal Dadlani",Dance
Mitwa,"Caralisa Monteiro, Shafqat Amanat Ali, Shankar Ehsaan Loy, Shankar Mahadevan",Dance
Baat Ban Jaaye,"Priya Saraiya, Siddharth Basrur",DanceRomantic
Oye Hichki,Harshdeep Kaur,Dance
Ang Laga De,"Aditi Paul, Shail Hada",RomanticSensual
Lagdi Hai Thaai,"Guru Randhawa, Jonita Gandhi",Dance
Ishq Chadha Hai,Darshan Raval,Romantic
Bandeya,Arijit Singh,Sad
Love Mera Hit Hit,"Neeraj Shridhar, Tulsi Kumar",Dance
Ishq Da Sutta,"Jasmine Sandlas, Meet Bros",Dance
Zindagi Kuch Toh Bata,Jubin Nautiyal,
Haareya,Arijit Singh,Romantic
Patthar Ke Sanam,Mohammed Rafi,Sad
The Medley,"Lata Mangeshkar, Pamela Chopra, Sonu Nigam, Udit Narayan",Dance
Raghupati Raghav,"Bob, Monali Thakur, Neeraj Shridhar",Dance
The Padman Song,Mika Singh,Dance
Go Pagal,"Nindy Kaur, Raftaar",Dance
Sadi Gali,Lehmber Hussainpuri,Dance
Daiya Daiya Daiya Re,Alka Yagnik,DanceRomantic
Challa,Rabbi Shergill,Dance
Thoda Aur,"Arijit Singh, Palak Muchhal",Romantic
Sexy Baby Girl,"Lil Golu, Swati Sharma",Dance
Ek Dilruba Hai,Udit Narayan,DanceRomantic
Tu Pyar Hai Kisi Aur Ka,"Anuradha Paudwal, Kumar Sanu",Sad
Aata Majhi Satakli,"Mamta Sharma, Nitu Choudhry, Yo Yo Honey Singh",Dance
Ishq Bulaava,Sanam Puri,Romantic
Thug Le,"Sweta Pandit, Vishal Dadlani",Dance
Hum Mar Jayenge,"Arijit Singh, Tulsi Kumar",Sad
Desi Girl,"Shankar Mahadevan, Sunidhi Chauhan, Vishal Dadlani",Dance
Madamji Go Easy,"Benny Dayal, David Klyton",Dance
Tu Dharti Pe Chaahe Jahan Bhi,"Alka Yagnik, Kumar Sanu",Romantic
Sandese Aate Hain,"Roop Kumar Rathod, Sonu Nigam",Patriotic
Tenu Le Ke,"Mahalakshmi Iyer, Sonu Nigam",Dance
Pehli Nazar Mein,Atif Aslam,Romantic
I Wanna Tera Ishq,"Shivangi Bhayana, Shivranjani Singh",Dance
Nimbooda Nimbooda,"Ismail Darbar, Kavita Krishnamurthy",Dance
Tera Rang Balle Balle,"Jaspinder Narula, Sonu Nigam",Dance
Dil Laga Na,"Jolly Mukherjee, Mahalaxmi Iyer, Soham Chakrabarthy, Sukhbir, Suzanne D'Mello",Dance
Naina Banjare,Arijit Singh,Romantic
Yadaan Teriyaan,Rahat Fateh Ali Khan,
Asalaam-E-Ishqum,"Bappi Lahiri, Neha Bhasin",Dance
Nadaan Parindey,A.R. Rahman,Sad
You Are My Soniya,"Alka Yagnik, Sonu Nigam",Dance
Aaja Nachle,Sunidhi Chauhan,Dance
Piya O Re Piya,"Atif Aslam, Shreya Ghoshal",Romantic
Halka Halka,"Ram Sampath, Shreya Ghoshal, Sonu Nigam",DanceRomantic
Peh Gaya Khalara,"Akanksha Bhandari, Akasa Singh, Divya Kumar, Jasleen Royal",Dance
Malang,"Shilpa Rao, Siddharth Mahadevan",Dance
Kuch Kuch Hota Hai,"Alka Yagnik, Udit Narayan",Romantic
Tay Hai,Ankit Tiwari,Sad
Usire Usire,"Shaan, Shreya Ghoshal",DanceRomantic
Papa Mere Papa,"Baby Aparna, Shreya Ghoshal, Sonu Nigam",
Go Go Govinda (Reprise),"Aaman Trikha, Shreya Ghoshal",Dance
Go Go Govinda,"Aman Trikha, Shreya Ghoshal",Dance
Tu Mujhe Kabool,"Kavita Krishnamurthy, Mohammad Aziz",Dance
Hori Khele Raghuveera,"Alka Yagnik, Amitabh Bachchan, Sukhwinder Singh, Udit Narayan",Dance
Aap Ka Aana Dil Dhadkana,"Alka Yagnik, Kumar Sanu",Dance
Love Tujhe Love Main Karta,"Alka Yagnik, Kumar Sanu",Romantic
Just Go to Hell Dil,"Amit Trivedi, Sunidhi Chauhan",Sad
Party All Night,Yo Yo Honey Singh,Dance
Talli Tonight,"Deep Money, Meet Bros, Mellow D, Neha Kakkar",Dance
Darasal,Atif Aslam,Romantic
Mauja Hi Mauja,Mika Singh,Dance
Dhokha Dhadi,Arijit Singh,Romantic
Dhoom Machale Dhoom,Aditi Singh Sharma,Dance
Ikk Kudi,Diljit Dosanjh,Romantic
Jhalak Dikhla Ja,Himesh Reshammiya,Dance
Baby Doll,"Anjjan, Kanika Kapoor, Meet Bros",Dance
Laila O Laila,"Amit Kumar, Kanchan",Dance
Jaane De,Atif Aslam,
Dilli Wali Girlfriend,"Arijit Singh, Sunidhi Chauhan",Dance
Mar Jaayen,Atif Aslam,Sad
I Love My India,"Hariharan, Kavita Krishnamurthy",Dance
O Sahiba O Sahiba,"Kavita Krishnamurthy, Sonu Nigam",Sad
O Saaki Saaki,"Sukhwinder Singh, Sunidhi Chauhan",Dance
Let’s Talk About Love,"Manj Musik, Neha Kakkar, Raftaar",Dance
Satakli,Sukhwinder Singh,Dance
Kashmir Main Tu Kanyakumari,"Arijit Singh, Neeti Mohan, Sunidhi Chauhan",Dance
Kaala Doreya,Neha Bhasin,
Raabta,"Arijit Singh, Hamsika, Joi",Romantic
Vele,"Shekhar Ravjiani, Vishal Dadlani",Dance
440 Volt,Mika Singh,Dance
Aapka Kya Hoga,"Arun Ingle, Mika Singh, Sajid Khan, Shankar Mahadevan, Sunidhi Chauhan",Dance
Tere Ishq Mein Naachenge,"Alisha Chinai, Kumar Sanu, Sapna Mukharji",Dance
Kisi Ki Muskurahaton Se,Mukesh,Dance
Bawara Mann,"Jubin Nautiyal, Neeti Mohan",Romantic
Tere Bina (Guru),"A.R. Rahman, Chinmaye, Murtuza Khan, Qadir Khan",Dance
Itna Sannata Kyun Hai,"Aditi Singh Sharma, Amit Mishra",Dance
Desi Look,Kanika Kapoor,Dance
Chamakti Shaam Hai,"Alka Yagnik, Sonu Nigam",Dance
Sarsariya,"Shashaa Tirupati, Shashwat Singh",Romantic
Jag Soona Soona Lage,,Sad
Kandhon Se Milte Hain Kandhe,"Hariharan, Kunal Ganjawala, Roop Kumar Rathod, Shankar Mahadevan, Sonu Nigam, Vijay Prakash",Patriotic
Deewangi Deewangi,"Rahul Saxena, Shaan, Shreya Ghoshal, Sunidhi Chauhan, Udit Narayan",Dance
Tareefan Remix,Badshah,Dance
Samjhawan,"Arijit Singh, Shreya Ghoshal",Sad
Bam Lahiri,Kailash Kher,Dance
Chicken Kuk Doo Koo,"Mohit Chauhan, Palak Muchhal",Dance
Dhating Naach,"Nakash Aziz, Neha Kakkar",Dance
Tu Itni Khoobsurat Hai,Rahat Fateh Ali Khan,Sad
O Priya Priya,"Anuradha Paudwal, Shabbir Kumar",Sad
Manchala,"Nupur Pant, Shafqat Amanat Ali",Sad
Lukka Chuppi,"A.R. Rahman, Lata Mangeshkar",Sad
Prem Leela,"Aaman Trikha, Vineet Singh",Dance
Khuda Jaane,"K.K., Shilpa Rao",Romantic
Premika,"Benny Dayal, Kanika Kapoor",Dance
Tera Mujhse Hai Pehle Ka Naata Koi,"Kishore Kumar, Sushma Shrestha",Romantic
Character Dheela,"Amrita Kak, Neeraj Shridhar",Dance
Munni Badnam Hui,"Aishwarya, Mamta Sharma",Dance
Saadda Haq,Mohit Chauhan,Dance
Rehnuma,"Inder Bawra, Shreya Ghoshal",RomanticSad
Ilahi,Arijit Singh,Dance
Neendein Khul Jaati Hain,"Kanika Kapoor, Meet Bros, Mika Singh",Dance
Phir Le Aya Dil,Shafqat Amanat Ali,Sad
Main Yahaan Hoon,Udit Narayan,Dance
Soni Soni,"Ishaan, Jaspinder Narula, Manohar Shetty, Pritha Majumdar, Shweta Pandit, Sonali Bhatawdekar, Udbhav, Udit Narayan",Dance
Rocket Saiyyan,"Brijesh Shandilya, Ritu Pathak, Tanishk Baagchi",Dance
Khol De Par,Arijit Singh,
Humko Humise Chura Lo,"Lata Mangeshkar, Udit Narayan",Romantic
Be Intehaan,"Atif Aslam, Sunidhi Chauhan",Romantic
Subhanallah,"Shilpa Rao, Sreerama Chandra Mynampati",Romantic
Dholna,"Lata Mangeshkar, Udit Narayan",Romantic
Koi Ishaara,Armaan Malik,RomanticSad
Phir Bhi Dil Hai Hindustani,Udit Narayan,DancePatriotic
Kore Kore Sapne,"Anuradha Paudwal, Kumar Sanu",Dance
Hale Dil,Harshit Saxena,Romantic
Aaoge Jab Tum,Rashid Khan,Sad
Tinku Jiya,"Javed Ali, Mamta Sharma",Dance
Lakshya – Title Track,Shankar Mahadevan,MotivationalPatriotic
Pretty Woman,"Ravi Khote, Shankar Mahadevan",Dance
Silsila Ye Chaahat Ka,Shreya Ghoshal,Romantic
Helicopter,"Neha Kakkar, Tony Kakkar",Dance
Kabhi Khushi Kabhie Gham,Lata Mangeshkar,Sad
Chak Lein De,Kailash Kher,Motivational
Meri Aashiqui Ab Tum Hi Ho,"Arijit Singh, Palak Muchhal",RomanticSad
Tere Dware Pe Aai Baraat,"Ravindra Jain, Sudesh Bhosle",Dance
Badi Mushkil Hai,Abhijeet,Romance
Toh Dishoom,"Raftaar, Shahid Mallya",Dance
Kudiye Ni Tere,"Shivangi Bhayana, Udit Narayan",Romantic
Hu Ba Hu,Amit Trivedi,Dance
Kitna Pagal Dil Hai,Kumar Sanu,Romantic
Sahiba Russ Gayiya,Rahat Fateh Ali Khan,Sad
Mehfooz,Yasser Desai,RomanticSad
Veerey Ki Wedding,Navraj Hans,Dance
Ek Pal Ka Jeena,Lucky Ali,Dance
Gori Tu Latth Maar,"Palak Muchhal, Sonu Nigam",Romantic
Jal Rahin Hain,Kailash Kher,
Tum Jo Mile,Armaan Malik,Romantic
Saathiya Tune Kya Kiya,"K. S. Chithra, S.P. Balasubrahmanyam",Dance
Humne Pee Rakhi Hai,"Ikka, Jaz Dhami, Neha Kakkar",Dance
Bheegi Si Bhaagi Si,Mohit Chauhan,Romance
Chura Liya Hai,Mohammed Rafi,Romantic
Right Now Now,"Sunidhi Chauhan, Suzanne D'Mello, Wajid",Dance
Crazy Kiya Re,Sunidhi Chauhan,Dance
Ziddi Dil,Vishal Dadlani,Motivational
Abhi Abhi,K.K.,RomanticSad
Bahara,"Shreya Ghoshal, Sona Mohapatra",Romantic
Dekh Lena,"Arijit Singh, Tulsi Kumar",Romantic
Dheere Dheere Se Meri Zindagi Mein Aana,"Anuradha Paudwal, Kumar Sanu",
Tu Zaroori,"Sharib Sabri, Sunidhi Chauhan",Romantic
Afeemi,"Jigar Saraiya, Sanah Moidutty",Romantic
Salaam E Ishq,"Kunal Ganjawala, Sadhana Sargam, Shankar, Shreya Ghosal, Sonu Nigam",Dance
Naughty Billo,"Diljit Dosanjh, Nakash Aziz, Shilpi Paul",Dance
Behka,Vibha Saraf,Dance
Pyar Ke Liye,Alka Yagnik,Romantic
Dil Na Diya,Kunal Ganjawala,Dance
Sukoon Mila,Arijit Singh,Romantic
Dil To Pagal Hai,"Lata Mangeshkar, Udit Narayan",Romantic
Do Anjaane Ajnabi,"Shreya Ghoshal, Udit Narayan",Romantic
Tujh Mein Rab Dikhta Hai,Roop Kumar Rathod,Romantic
Palki Mein Hoke Sawar Chali Re,Alka Yagnik,Dance
Andekhi Anjaani,"Lata Mangeshkar, Udit Narayan",Romantic
Dhinka Chika,"Amrita Kak, Mika Singh",Dance
Main Agar,Atif Aslam,Romantic
Kyon,"Papon, Sunidhi Chauhan",Romantic
Tera Mera Milna,"Himesh Reshammiya, Shreya Ghoshal",Sad
Daayre,Arijit Singh,Romantic
Sahiba,"Pawni Pandey, Romy",Sad
Saajan Saajan,"Alka Yagnik, Kumar Sanu, Udit Narayan",DanceRomantic
Aisa Des Hai Mera,"Gurdas Maan, Lata Mangeshkar, Preetha Mazumdar, Udit Narayan",Patriotic
Lost Without You,"Ami Mishra, Anushka Shahaney",Sad
Dhal Jaun Main,"Aakanksha Sharma, Jubin Nautiyal",RomanticSad
Badass Babuaa,"Abhishek Nailwal, Neha Bhasin, Sameer Uddin",Dance
Aaj Kehna Zaroori Hai,"Alka Yagnik, Udit Narayan",Romantic
Ye Toh Sach Hai Ke Bhagwan,Hariharan,Dance
Dastaan-e-Om Shanti Om,Shaan,Dance
Saanson Ke,K.K.,Sad
O Jiji,"Pamela Jain, Shreya Ghoshal",Dance
Hug Me,"Kanika Kapoor, Raghav Sachar",Dance
Halkat Jawani,Sunidhi Chauhan,Dance
Ek Dil Hai,"Alka Yagnik, Kumar Sanu",Romantic
Black Jama Hai,Sukhwinder Singh,
Confused Lover,"Aaniya, Mika Singh",Dance
Tumse Milne Ki Tamanna Hai,S.P. Balasubrahmanyam,Dance
Afsana,"Himesh Reshammiya, Tulsi Kumar",Dance
Naina,"Armaan Malik, Sona Mohapatra",RomanticSad
Naina,"Armaan Malik, Sona Mohapatra",Sad
Dil Mein Dard Sa Jaga Hai,"Alka Yagnik, Udit Narayan",Dance
Anarkali Disco Chali,"Mamta Sharma, Sukhwinder Singh",Dance
Jab Dil Miley,"Asha Bhosle, Udit Narayan",Dance
Humko Humise Chura Lo,"Lata Mangeshkar, Udit Narayan",Romantic
Make Some Noise For The Desi Boyz,"Bob, K.K.",Dance
Aga Bhai,Monali Thakur,Dance
Sehmi Hai Dhadkan,Atif Aslam,Sad
Jawaani Le Doobi,"Kanika Kapoor, Uvie",Dance
Humko Tumse Pyar Hai,Abhijeet,Dance
Sadda Move,"Diljit Dosanjh, Pardeep Singh Sran",Dance
Soniyo,"Neeraj Shridhar, Raju Singh, Shreya Ghoshal, Sonu Nigam",Romantic
Kaun Nachdi,"Guru Randhawa, Neeti Mohan",Dance
Dhoom Machale,Sunidhi Chauhan,DanceRomantic
Door Na Ja,Sonu Nigam,Sad
Ishq Shava,"Raghav Mathur, Shilpa Rao",Dance
Boss Title Track,"Anjjan, Meet Bros, Yo Yo Honey Singh",Dance
Tum Ko Dekha To Yeh Khayal Aya,"Chitra Singh, Jagjit Singh",Romantic
Jaane Nahi Denge Tujhe,Sonu Nigam,Sad
Tadap Tadap,"Dominique, K.K.",Sad
Senti Wali Mental,"Amit Trivedi, Arijit Singh, Neeti Mohan, Swanand Kirkire",Dance
Sapna Jahan,"Neeti Mohan, Sonu Nigam",Sad
Urvashi Urvashi,"A.R. Rahman, Noel James, Shankar Mahadevan",Dance
Tere Bina,"Arijit Singh, Priya Saraiya",Romantic
Hoor,Atif Aslam,Sad
Chhoti Chhoti Raatein,"Anuradha Paudwal, Sonu Nigam",DanceRomantic
Sanson Ki Zarurat Hai Jaise,Kumar Sanu,Romantic
Zoobi Doobi,"Shreya Ghoshal, Sonu Nigam",DanceRomantic
Mannat,"Keerthi Sagathia, Shreya Ghoshal, Sonu Nigam",Dance
Intezaar,Shreya Ghoshal,Sad
Agar Tu Hota,Ankit Tiwari,Sad
Hai Dil,"Alka Yagnik, Kumar Sanu",Romantic
Pardesiya,"Ehsaan Noorani, Hemant Brijwasi, Sahil Akhtar, Shankar Mahadevan, Shehnaz Akhtar",Sad
Ishtehaar,"Dhvani Bhanushali, Rahat Fateh Ali Khan",Sad
Twist,Neeraj Shridhar,Dance
You’re My Life,"Earl, Shaan, Shweta Pandit, Suzanne D'Mello",DanceRomantic
Mat Maari,"Kunal Ganjawala, Sunidhi Chauhan",Dance
Mujhse Juda Hokar,"Lata Mangeshkar, S.P. Balasubrahmanyam",Sad
Second Hand Jawaani,"Miss Pooja, Nakkash Aziz, Neha Kakkar",Dance
Naina Re,"Himesh Reshammiya, Rahat Fateh Ali Khan, Shreya Ghoshal",Sad
Tere Naina,"Shafqat Amanat Ali, Shankar Ehsaan Loy",Romantic
Haathon Mein Thhe Haath,"Aditi Singh Sharma, Altamash Faridi, Arpita Mukherjee, Papon",Sad
Gajanana,"Shreyas Puranik, Sukhwinder Singh",Devotional
Tum Mile,Neeraj Shridhar,Romantic
Meri Khamoshi Hai,Ishan Mitra,Sad
Oh My Darling,"Alisha Chinai, Sonu Nigam",Dance
Nainon Men Sapna,"Kishore Kumar, Lata Mangeshkar",Dance
Tu Jo Hain,Ankit Tiwari,RomanticSad
Dheere Dheere Bol Koi Sun Na Le,"Lata Mangeshkar, Mukesh",Romantic
Mohenjo Daro,"A.R. Rahman, Arijit Singh, Bela Shende, Sanah Moidutty",Dance
Jai Jai Shiv Shankar,"Kishore Kumar, Lata Mangeshkar",Dance
Ladki Kyon Na Jane Kyon,"Alka Yagnik, Shaan",Dance
Drama Queen,"Shreya Ghoshal, Vishal Dadlani",Dance
Khaike Paan Banaras Wala,Kishore Kumar,Dance
Tu Hi Haqeeqat,"Irshan Ashraf, Javed Ali, Shadaab Faridi",Romantic
Tune Maari Entriyaan (Bangla Version),"Bappi Lahiri, Monali Thakur",Dance
Gudgudi,Sunidhi Chauhan,
Yeh Kaisi Jagah,"Deepali Sathe, Zubeen Garg",Sad
Bass Gira De Raja,Shashwat Sachdev,
Wada Karle Sajna Tere Bina,"Lata Mangeshkar, Mohammed Rafi",Romantic
Jhalla Wallah,Shreya Ghoshal,Dance
Hamesha Tumko Chaha,"Kavita Krishnamurthy, Udit Narayan",Sad
Mujhko Barsaat Bana Lo,Armaan Malik,Romantic
Aaya Tere Dar Par,"Ahmed Hussain, Javed Hussain, Mohd Vakil, Mohd. Hussain",Devotional
Ho Nahi Sakta,Udit Narayan,Romantic
Saale Sapne,Mohit Chauhan,
Kaun Tujhe,Armaan Malik,Romantic
Tere Liye,"Atif Aslam, Shreya Ghoshal",Dance
Tu Isaq Mera,"Meet Bros, Neha Kakkar",RomanticSensual
Shaam Shaandaar,Amit Trivedi,Dance
Banjaara,Sukhwinder Singh,DanceRomantic
Akkha India Janta Hai,Kumar Sanu,Romantic
Tharki Chokro,Swaroop Khan,Dance
Phir Se,"Nikhil Dsouza, Shreya Ghoshal",
Gale Lag Ja,"Banjyotsna, Javed Ali",DanceSensual
Aadat (Juda Hoke Bhi),Atif Aslam,Sad
Jane Kaise Kab Kahan Iqrar Ho Gaya,"Kishore Kumar, Lata Mangeshkar",Romantic
Agar Tum Mil Jao,Shreya Ghoshal,Romantic
Kaara Fankaara,"A.R. Rahman, Aaryan Dinesh Kanagaratnam, Ashima Mahajan, Hard Kaur, Kaly, Paroma Dasgupta, Shashaa Tirupati",Dance
Chokra Jawaan,"Sunidhi Chauhan, Vishal Dadlani",Dance
Didi Tera Devar Deewana,"Lata Mangeshkar, S.P. Balasubrahmanyam",Dance
Saiyan Re,"Mohammed Irfan, Palak Muchhal",Romantic
Pal Pal Dil Ke Paas,Kishore Kumar,Romantic
Rail Gaddi,"Navraj Hans, Swati Sharrma",Dance
Ek Din Bik Jayega Mati Ke Mol,Mukesh,Dance
Main Koi Aisa Geet,Abhijeet,Dance
Yeh Ishq Hai,Shreya Ghoshal,Dance
Alizeh,"Alizeh Ash King, Arijit Singh, Shashwat Singh",Romantic
Kaho Na Kaho,Amir Jamal,RomanticSensual
Imli Ka Boota,"Mohammad Aziz, Sudesh Bhonsle",
Hey Shona,"Shaan, Sunidhi Chauhan",DanceRomantic
Chalte Chalte,"Manohar Shetty, Preetha Mazumdar, Sonali Bhatawdekar, Udbhav",Dance
Iktara,"Amit Trivedi, Amitabh Bhattacharya, Kavita Seth",Romantic
Aap Ki Nazron Ne Samjha,Lata Mangeshkar,Romantic
Tu Chahiye,Atif Aslam,Romantic
Ole Ole,Abhijeet,Dance
Tutak Tutak Tutiya,"Kanika Kapoor, Malkit Singh, Sonu Sood",Dance
Meri Duniya Tu Hi Re,"Shaan, Shankar Mahadevan, Sonu Nigam",Dance
Mujhko Yaad Sataye Teri,Himesh Reshammiya,Dance
Jane Kahan Gaye Woh Din,Mukesh,Sad
Nonsense Ki Night,Mika Singh,Dance
Daaru Desi,"Benny Dayal, Shalmali Kholgade",Dance
Fugly Fugly Kya Hai,Yo Yo Honey Singh,Dance
Buddhu Sa Mann,"Amaal Mallik, Armaan Malik",Dance
Jiska Mujhe Tha Intezar,"Kishore Kumar, Lata Mangeshkar",Romantic
Raat Ka Nasha,K. S. Chithra,Dance
Zara Zara Touch Me,Monali Thakur,DanceSensual
Wada Karo Nahi Chodoge,"Kishore Kumar, Lata Mangeshkar",Romantic
Sajde,"Arijit Singh, Gulzar, Nihira Joshi Deshpande",Romantic
Khair Mangda,Atif Aslam,Sad
Tere Naal Ishqa,Kailash Kher,Sad
Na Na Na Re,"Daler Mehndi, Sudesh Bhonsle",Dance
