Song-Name,Singer/Artists,Genre
Prem Ratan Dhan Payo,Palak Muchhal,DanceRomantic
Mohabbat,Sunidhi Chauhan,Dance
Nainowale Ne,Neeti Mohan,Romantic
Mummy Kasam,"Gurinder Seagal, Payal Dev",Dance
Nasha,Amit Gupta,Sensual
Bulleya,"Amit Mishra, Shilpa Rao",DanceSad
Kar Gayi Chull,"Badshah, Fazilpuria, Neha Kakkar, Sukriti Kakar",Dance
Musafir,"Atif Aslam, Palak Muchhal",Sad
Binte Dil,Arijit Singh,Dance
Halka Halka,"Divya Kumar, Sunidhi Chauhan",Romantic
Humsafar,"Akhil Sachdeva, Mansheel Gujral",RomanticSad
Chad Gayi Hai,"Jigar, Sachin Sanghvi, Vishal Dadlani",Dance
Tum Mere Ho,"Amrita Singh, Jubin Nautiyal",Sensual
Bole Chudiyan,"Alka Yagnik, Amit Kumar, Kavita Krishnamurthy, Sonu Nigam, Udit Narayan",DanceRomantic
Sawarne Lage,Jubin Nautiyal,Romantic
Chalti Hai Kya 9 Se 12,"Dev Negi, Neha Kakkar",Dance
Selfish,"Atif Aslam, Iulia Vantur",Romantic
Oonchi Hai Building,"Anu Malik, Neha Kakkar",Dance
Shikwa Nahin Kisi Se,Kumar Sanu,Sad
Sanam Re,Arijit Singh,Romantic
Dekha Hai Pehli Baar,"Alka Yagnik, S.P. Balasubrahmanyam",Dance
Phir Bhi Tumko Chaahunga,"Arijit Singh, Shashaa Tirupati",Sad
Suit Suit,"Arjun, Guru Randhawa",Dance
Nachange Saari Raat,"Meet Bros, Neeraj Shridhar, Tulsi Kumar",Dance
Ishq Di Baajiyan,Diljit Dosanjh,Romantic
Hard Hard,"Mika Singh, Prakriti Kakar, Sachet Tandon",Dance
Udi Udi Jaye,"Bhoomi Trivedi, Karsan Sagathia, Sukhwinder Singh",Dance
Nazar Na Lag Jaaye,"Ash King, Jigar, Sachin Sanghvi",Romantic
Nachle Na,"Guru Randhawa, Neeti Mohan",Dance
Hatt Ja Tau,Sunidhi Chauhan,Dance
Chittiyaan Kalaiyaan,"Anjjan, Kanika Kapoor, Meet Bros",Dance
La La La (Baazaar),"Bilal Saeed, Neha Kakkar",DanceRomantic
Tujhse Kahan Judaa Hoon Main,"Himesh Reshammiya, Neeti Mohan, Vineet Singh",Sad
