Song Name,Artist,Genre
Circles,Post Malone,"dfw rap, melodic rap, rap"
Blaues Licht,"RAF Camora, Bonez MC",german hip hop
Ram Pam Pam,"Natti Natasha, Becky G","latin, latin pop, rap latina, reggaeton, trap latino"
In Da Getto,"J Balvin, Skrillex",
Woman,Doja Cat,"dance pop, pop"
t r a n s p a r e n t s o u l feat. Travis Barker,WILLOW,"afrofuturism, dance pop, electropop, pop, pop rap, post-teen pop"
Clash (feat. Stormzy),Dave,uk hip hop
Before You Go,Lewis Capaldi,"pop, uk pop"
Levitating,Dua Lipa,"dance pop, pop, uk pop"
Reckless,Madison Beer,"alt z, dance pop, electropop, pop, post-teen pop"
"No Me Conocen (Remix) con DUKI, Rei & Tiago PZK",BANDIDO,
Believer,Imagine Dragons,"modern rock, pop, rock"
"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,"pop rap, rap, trap"
Talking to the Moon,Bruno Mars,"dance pop, pop, post-teen pop"
Roses - Imanbek Remix,SAINt JHN,"melodic rap, pop rap, rap, slap house, trap"
Sal y Perrea,Sech,"latin, panamanian pop, reggaeton, trap latino"
Fulanito,"Becky G, El Alfa","dance pop, latin, latin pop, latin viral pop, pop, rap latina, reggaeton, trap latino"
París,Ingratax,
lovely (with Khalid),Billie Eilish,"electropop, pop"
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",
double take,dhruv,"chill r&b, nyc pop"
Streets,Doja Cat,"dance pop, pop"
By Your Side (feat. Tom Grennan),Calvin Harris,"dance pop, edm, electro house, house, pop, progressive house, uk dance"
MORENA,Luan Santana,"sertanejo, sertanejo pop, sertanejo universitario"
Shape of You,Ed Sheeran,"pop, uk pop"
Señorita,"Shawn Mendes, Camila Cabello","canadian pop, dance pop, pop, post-teen pop, viral pop"
Hold On,Justin Bieber,
Perfect,Ed Sheeran,"pop, uk pop"
2:50 Remix,"MYA, TINI, Duki",latin pop
LA NOCHE DE ANOCHE,"Bad Bunny, ROSALÍA","latin, reggaeton, trap latino"
ROCKSTAR (feat. Roddy Ricch),DaBaby,"north carolina hip hop, rap"
Heather,Conan Gray,"alt z, bedroom pop, electropop, indie pop, pop, post-teen pop"
you broke me first,Tate McRae,"alt z, dance pop, pop, post-teen pop"
The Nights,Avicii,"dance pop, edm, pop, pop dance"
Riptide,Vance Joy,"folk-pop, modern rock, pop, pop rock"
Smells Like Teen Spirit,Nirvana,"grunge, permanent wave, rock"
enough for you,Olivia Rodrigo,pop
Daddy Issues,The Neighbourhood,"modern alternative rock, modern rock, pop"
Aquelas Coisas,João Gomes,
Miss The Rage (feat. Playboi Carti),Trippie Redd,"melodic rap, rap, trap"
Memories,Maroon 5,"pop, pop rock"
Another Love,Tom Odell,pop
Heres Your Perfect,Jamie Miller,pop soul
Take Me To Church,Hozier,"irish singer-songwriter, modern rock, pop"
Little Bit of Love,Tom Grennan,"modern rock, uk pop"
Ficha Limpa,Gusttavo Lima,"sertanejo, sertanejo universitario"
Up,Cardi B,"dance pop, pop, pop rap, rap"
Hawái,Maluma,"latin, reggaeton, reggaeton colombiano"
New Normal,Khalid,pop
Bohemian Rhapsody - Remastered 2011,Queen,"classic rock, glam rock, rock"
Bandido,"Myke Towers, Juhn",trap latino
Paradise (feat. Dermot Kennedy),MEDUZA,"dance pop, edm, pop dance, pop house, tropical house"
goosebumps,Travis Scott,"rap, slap house"
Wasted Love (feat. Lagique),Ofenbach,"edm, new french touch, pop dance, tropical house"
KESI - Remix,"Camilo, Shawn Mendes","colombian pop, reggaeton colombiano"
Shallow,"Lady Gaga, Bradley Cooper","dance pop, pop, post-teen pop"
Tell Em,"Cochise, $NOT","plugg, vapor trap, viral rap"
"Não, Não Vou",Mari Fernandez,
Counting Stars,OneRepublic,"dance pop, piano rock, pop, pop rock"
Yellow,Coldplay,"permanent wave, pop"
Como Si No Importara,"Emilia, Duki",
Se For Amor,"João Gomes, Vitor Fernandes",
Wake Me Up,Avicii,"dance pop, edm, pop, pop dance"
Baby Me Atende,"Matheus Fernandes, Dilsinho","forro, sertanejo pop"
Ramenez la coupe à la maison,Vegedream,
What You Know Bout Love,Pop Smoke,brooklyn drill
Runaway,AURORA,"art pop, norwegian pop"
Red Light Green Light,DaBaby,"north carolina hip hop, rap"
Ball If I Want To,DaBaby,"north carolina hip hop, rap"
Lucid Dreams,Juice WRLD,"chicago rap, melodic rap"
Calling My Phone,"Lil Tjay, 6LACK","brooklyn drill, melodic rap, nyc rap"
34+35,Ariana Grande, 
bad guy,Billie Eilish,
Cover Me In Sunshine,"P!nk, Willow Sage Hart","dance pop, pop, post-teen pop"
For The Night (feat. Lil Baby & DaBaby),Pop Smoke,brooklyn drill
"1 step forward, 3 steps back",Olivia Rodrigo,pop
WAP (feat. Megan Thee Stallion),Cardi B,"dance pop, pop, pop rap, rap"
Mr. Brightside,The Killers,"dance rock, modern rock, permanent wave, rock"
Every Breath You Take,The Police,"album rock, art rock, classic rock, mellow gold, new wave, permanent wave, rock, soft rock"
Dreams - 2004 Remaster,Fleetwood Mac,"album rock, classic rock, mellow gold, rock, soft rock, yacht rock"
Say You Wont Let Go,James Arthur,"pop, post-teen pop, talent show, uk pop"
Wild Side (feat. Cardi B),Normani,"dance pop, pop, pop rap, post-teen pop, r&b, urban contemporary"
Bout A Million (feat. 42 Dugg & 21 Savage),Pop Smoke,brooklyn drill
Demeanor (feat. Dua Lipa),Pop Smoke,brooklyn drill
death bed (coffee for your head),"Powfu, beabadoobee",sad rap
Our Song,"Anne-Marie, Niall Horan","dance pop, pop, pop dance, post-teen pop, tropical house, uk pop"
Another One Bites The Dust - Remastered 2011,Queen,"classic rock, glam rock, rock"
One Dance,"Drake, WizKid, Kyla","canadian hip hop, canadian pop, hip hop, pop rap, rap, toronto rap"
Adore You,Harry Styles,"pop, post-teen pop"
