Song Name,Artist,Genre
Come & Go (with Marshmello),Juice WRLD,"chicago rap, melodic rap"
Robbery,Juice WRLD,"chicago rap, melodic rap"
Paradigmas,Jorge & Mateus,"sertanejo, sertanejo universitario"
SugarCrash!,ElyOtto,weirdcore
durag activity (with Travis Scott),Baby Keem,"hip hop, rap, trap, underground hip hop"
love race (feat. Kellin Quinn),Machine Gun Kelly,"ohio hip hop, pop rap"
POPSTAR (feat. Drake),DJ Khaled,"hip hop, miami hip hop, pop rap, rap, southern hip hop, trap"
LET IT GO (feat. Justin Bieber & 21 Savage),DJ Khaled,"hip hop, miami hip hop, pop rap, rap, southern hip hop, trap"
Girl From Rio,Anitta,"funk carioca, funk pop, pagode baiano, pop nacional"
On The Ground,ROSÉ,
Mr. Perfectly Fine (Taylors Version) (From The Vault),Taylor Swift,"pop, post-teen pop"
when the partys over,Billie Eilish,
Otra Noche Sin Ti,"J Balvin, Khalid","latin, reggaeton, reggaeton colombiano"
Met Him Last Night (feat. Ariana Grande),Demi Lovato,"dance pop, pop, post-teen pop"
Back In Blood (feat. Lil Durk),Pooh Shiesty,"memphis hip hop, rap, southern hip hop, tennessee hip hop, trap"
Run It Up (feat. Offset & Moneybagg Yo),Lil Tjay,"brooklyn drill, melodic rap, nyc rap"
Mi Niña,"Wisin, Myke Towers, Los Legendarios","latin, latin hip hop, reggaeton, trap latino"
As I Am (feat. Khalid),Justin Bieber,"canadian pop, pop, post-teen pop"
Come Through (feat. Chris Brown),H.E.R.,"alternative r&b, dance pop, pop, r&b"
Goosebumps,HVME,"rap, slap house"
Put Your Records On,Ritt Momney,bedroom pop
Facas - Ao Vivo,"Diego & Victor Hugo, Bruno & Marrone","sertanejo, sertanejo pop, sertanejo universitario"
Train Wreck,James Arthur,"pop, post-teen pop, talent show, uk pop"
Monster (Shawn Mendes & Justin Bieber),Shawn Mendes,"canadian pop, dance pop, pop, post-teen pop, viral pop"
In Your Eyes,The Weeknd,"canadian contemporary r&b, canadian pop, pop"
SAD!,XXXTENTACION,"emo rap, miami hip hop"
Good Without,Mimi Webb,"alt z, indie cafe pop, pop, uk pop"
hot girl bummer,blackbear,"electropop, pop, pop rap"
When I Was Your Man,Bruno Mars,"dance pop, pop, post-teen pop"
LOCATION,"KAROL G, Anuel AA, J Balvin",
Stressed Out,Twenty One Pilots,"modern rock, rock"
Ski,"Young Stoner Life, Young Thug, Gunna","rap, trap"
Diamonds Dancing (feat. Travis Scott),"Young Stoner Life, Young Thug, Gunna","rap, trap"
Love Story (Taylors Version),Taylor Swift,"pop, post-teen pop"
"Ele É Ele, Eu Sou Eu","Wesley Safadão, Os Barões Da Pisadinha",forro
Quero Ver é Me Esquecer (feat. Jorge) - Ao Vivo,Os Barões Da Pisadinha,"forro, piseiro"
willow,Taylor Swift,"pop, post-teen pop"
Whyd You Only Call Me When Youre High?,Arctic Monkeys,"garage rock, permanent wave, rock, sheffield indie"
Afterglow,Ed Sheeran,
LA CANCIÓN,"J Balvin, Bad Bunny","latin, reggaeton, reggaeton colombiano"
You Belong With Me (Taylors Version),Taylor Swift,"pop, post-teen pop"
Fearless (Taylors Version),Taylor Swift,"pop, post-teen pop"
X Gon Give It To Ya,DMX,"east coast hip hop, gangster rap, hardcore hip hop, hip hop, pop rap, rap"
Fifteen (Taylors Version),Taylor Swift,"pop, post-teen pop"
The Way I Loved You (Taylors Version),Taylor Swift,"pop, post-teen pop"
You All Over Me (feat. Maren Morris) (Taylors Version) (From The Vault),Taylor Swift,"pop, post-teen pop"
Hey Stephen (Taylors Version),Taylor Swift,"pop, post-teen pop"
White Horse (Taylors Version),Taylor Swift,"pop, post-teen pop"
Forever & Always (Taylors Version),Taylor Swift,"pop, post-teen pop"
Breathe (feat. Colbie Caillat) (Taylors Version),Taylor Swift,"pop, post-teen pop"
Ruff Ryders Anthem,DMX,"east coast hip hop, gangster rap, hardcore hip hop, hip hop, pop rap, rap"
Thats When (feat. Keith Urban) (Taylors Version) (From The Vault),Taylor Swift,"pop, post-teen pop"
Tell Me Why (Taylors Version),Taylor Swift,"pop, post-teen pop"
Youre Not Sorry (Taylors Version),Taylor Swift,"pop, post-teen pop"
Chica Ideal,"Sebastian Yatra, Guaynaa",
Relación - Remix,"Sech, Daddy Yankee, J Balvin, ROSALÍA, Farruko","latin, panamanian pop, reggaeton, trap latino"
Dont You (Taylors Version) (From The Vault),Taylor Swift,"pop, post-teen pop"
We Were Happy (Taylors Version) (From The Vault),Taylor Swift,"pop, post-teen pop"
WACHA,"KHEA, Duki","argentine hip hop, trap argentino, trap latino, trap triste"
Dancing With The Devil,Demi Lovato,"dance pop, pop, post-teen pop"
Gone,ROSÉ,
What Other People Say,"Sam Fischer, Demi Lovato","alt z, australian pop, dance pop, indie cafe pop, pop, post-teen pop, uk pop"
Hello (feat. A Boogie Wit da Hoodie),Pop Smoke,brooklyn drill
Hasta Abajo,"Kevin Roldan, Bryant Myers, Lyanno","latin, latin hip hop, reggaeton, reggaeton colombiano, reggaeton flow, trap latino"
Take You Dancing,Jason Derulo,"dance pop, pop, pop rap, post-teen pop"
Unstable (feat. The Kid LAROI),Justin Bieber,"canadian pop, pop, post-teen pop"
Stuck with U (with Justin Bieber),Ariana Grande,"dance pop, pop, post-teen pop"
Hayloft,Mother Mother,"indie pop, vancouver indie"
Esquema Preferido (feat. Tarcísio do Acordeon),DJ Ivis,piseiro
Además de Mí - Remix,"Rusherking, KHEA, Duki, Maria Becerra, LIT killah, Tiago PZK","trap argentino, trap latino, trap triste"
Payphone,"Maroon 5, Wiz Khalifa","pop, pop rock"
Ghost,Justin Bieber,"canadian pop, pop, post-teen pop"
Off My Face,Justin Bieber,"canadian pop, pop, post-teen pop"
"Whats Poppin (feat. DaBaby, Tory Lanez & Lil Wayne) Remix - Bonus Track",Jack Harlow,"deep underground hip hop, kentucky hip hop, pop rap, rap"
Take on Me,a-ha,"new romantic, new wave, new wave pop, permanent wave, soft rock, synthpop"
BEBÉ,"Camilo, El Alfa","colombian pop, reggaeton colombiano"
Richer (feat. Polo G),Rod Wave, 
Tu Veneno,J Balvin,"latin, reggaeton, reggaeton colombiano"
Deserve You,Justin Bieber,"canadian pop, pop, post-teen pop"
2 Much,Justin Bieber,"canadian pop, pop, post-teen pop"
Tusa,"KAROL G, Nicki Minaj","latin, reggaeton, reggaeton colombiano"
Una Locura,"Ozuna, J Balvin, Chencho Corleone","latin, puerto rican pop, reggaeton, trap latino"
Loved By You (feat. Burna Boy),Justin Bieber,"canadian pop, pop, post-teen pop"
Girls Like Us,Zoe Wees,german pop
Lemon Pepper Freestyle (feat. Rick Ross),Drake,"canadian hip hop, canadian pop, hip hop, pop rap, rap, toronto rap"
Esquema Preferido,"DJ Ivis, Tarcísio do Acordeon",piseiro
Love Not War (The Tampa Beat),"Jason Derulo, Nuka","dance pop, pop, pop rap, post-teen pop"
Die For You (feat. Dominic Fike),Justin Bieber,"canadian pop, pop, post-teen pop"
Starboy,"The Weeknd, Daft Punk","canadian contemporary r&b, canadian pop, pop"
La Tóxica,Farruko,"latin, latin hip hop, reggaeton, trap latino"
Coração Na Cama - Ao Vivo,Hugo & Guilherme,sertanejo pop
Love You Different (feat. BEAM),Justin Bieber,"canadian pop, pop, post-teen pop"
Somebody,Justin Bieber,"canadian pop, pop, post-teen pop"
White Dress,Lana Del Rey,"art pop, pop"
Polvo,"Nicky Jam, Myke Towers","latin, latin hip hop, reggaeton, trap latino"
Chemtrails Over The Country Club,Lana Del Rey,"art pop, pop"
Parce (feat. Justin Quiles),"Maluma, Lenny Tavárez","latin, reggaeton, reggaeton colombiano"
Ropa Cara,Camilo,"colombian pop, reggaeton colombiano"
Vida de Rico,Camilo,"colombian pop, reggaeton colombiano"
Devil Eyes,Hippie Sabotage,"edm, electronic trap"
Ponte Pa Mi,Justin Quiles,"latin, reggaeton, trap latino"
Dámelo To (feat. Myke Towers),Selena Gomez,"dance pop, pop, post-teen pop"
Patience (feat. YUNGBLUD & Polo G),KSI,uk hip hop
Selfish Love (with Selena Gomez),DJ Snake,"dance pop, edm, electronic trap, pop, pop dance"
Snowman,Sia,"australian dance, australian pop, dance pop, pop"
DAYWALKER! (feat. CORPSE),Machine Gun Kelly,"ohio hip hop, pop rap"
La Curiosidad,"Jay Wheeler, DJ Nelson, Myke Towers","latin, reggaeton, trap latino"
All We Got (feat. KIDDO),Robin Schulz,"dance pop, deep euro house, deep house, edm, german dance, pop, pop dance, tropical house"
Say So,Doja Cat,"dance pop, pop"
Hope,XXXTENTACION,"emo rap, miami hip hop"
The Less I Know The Better,Tame Impala,"australian psych, neo-psychedelic"
I Feel It Coming,"The Weeknd, Daft Punk","canadian contemporary r&b, canadian pop, pop"
Mood Swings (feat. Lil Tjay),Pop Smoke,brooklyn drill
Someone To You,BANNERS,"indie cafe pop, indie poptimism, modern rock, pop, pop rock"
To the Bone,Pamungkas,indonesian pop
How You Like That,BLACKPINK,"k-pop, k-pop girl group"
LOST,"NF, Hopsin","hip hop, pop rap, rap"
VOCE,Madame,
AP - Music from the film Boogie,Pop Smoke,brooklyn drill
Lifes A Mess II (with Clever & Post Malone),Juice WRLD,"chicago rap, melodic rap"
CHIAMAMI PER NOME,"Francesca Michielin, Fedez","italian adult pop, italian indie pop, italian pop, italian pop rock"
Antes,"Anuel AA, Ozuna","latin, reggaeton, reggaeton flow, trap boricua, trap latino"
Mona Lisa,"Booba, JSX","french hip hop, old school rap francais, pop urbaine, rap conscient"
Real As It Gets (feat. EST Gee),Lil Baby,"atl hip hop, atl trap, rap, trap"
Se Te Nota (with Guaynaa),Lele Pons,"latin pop, viral pop"
Head Shoulders Knees & Toes (feat. Norma Jean Martine),"Ofenbach, Quarterhead","edm, new french touch, pop dance, tropical house"
Star Shopping,Lil Peep,"emo rap, lgbtq+ hip hop"
Electric Love,BØRNS,"modern alternative rock, modern rock, pop"
Maniac,Conan Gray,"alt z, bedroom pop, electropop, indie pop, pop, post-teen pop"
Only Wanna Be With You - Pokémon 25 Version,Post Malone,"dfw rap, melodic rap, rap"
test drive,Ariana Grande,"dance pop, pop, post-teen pop"
Tú Me Dejaste De Querer,"C. Tangana, Niño de Elche, La Húngara",urbano espanol
SO DONE,The Kid LAROI,australian hip hop
Jeans,Justin Quiles,"latin, reggaeton, trap latino"
ROXANNE,Arizona Zervas,"pop rap, rhode island rap"
rockstar (feat. 21 Savage),Post Malone,"dfw rap, melodic rap, rap"
Párteme La Cara,"C. Tangana, Ed Maverick",urbano espanol
Without Me,Halsey,"dance pop, electropop, etherpop, indie poptimism, pop, post-teen pop"
BOOKER T,Bad Bunny,"latin, reggaeton, trap latino"
Intentions (feat. Quavo),Justin Bieber,"canadian pop, pop, post-teen pop"
Sofia,Clairo,"bedroom pop, indie pop, pop"
Photograph,Ed Sheeran,"pop, uk pop"
"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix",Ariana Grande, 
Madonna,"Bausa, Apache 207","german hip hop, german pop"
CLOUDS,NF,"hip hop, pop rap, rap"
Wonder,Shawn Mendes,
Skin,Sabrina Carpenter,"alt z, dance pop, electropop, pop, post-teen pop, viral pop"
Tyler Herro,Jack Harlow,"deep underground hip hop, kentucky hip hop, pop rap, rap"
Remember That Night?,Sara Kays,"alt z, indie cafe pop, modern indie pop, pop, social media pop"
Lifestyle (feat. Adam Levine),"Jason Derulo, Maroon 5","dance pop, pop, pop rap, post-teen pop"
Fly Away,Tones And I,"australian pop, pop"
Despeinada,"Ozuna, Camilo","latin, puerto rican pop, reggaeton, trap latino"
motive (with Doja Cat),Ariana Grande,"dance pop, pop, post-teen pop"
I Dont Care (with Justin Bieber),Ed Sheeran,"pop, uk pop"
"Ay, DiOs Mío!",KAROL G,
"Nathy Peluso: Bzrp Music Sessions, Vol. 36","Bizarrap, Nathy Peluso","argentine hip hop, pop venezolano, trap argentino, trap latino"
Hawái - Remix,"Maluma, The Weeknd","latin, reggaeton, reggaeton colombiano"
Tattoo - Remix with Camilo,Rauw Alejandro,"puerto rican pop, trap latino"
Meia Noite (Você tem meu Whatsapp),Tarcísio do Acordeon,
Moonlight,XXXTENTACION,"emo rap, miami hip hop"
Thinking out Loud,Ed Sheeran,"pop, uk pop"
Toosie Slide,Drake,"canadian hip hop, canadian pop, hip hop, pop rap, rap, toronto rap"
Earned It (Fifty Shades Of Grey),The Weeknd,"canadian contemporary r&b, canadian pop, pop"
ily (i love you baby) (feat. Emilee),Surf Mesa,tropical house
Wonderwall,Oasis,"beatlesque, britpop, madchester, permanent wave, rock"
Everybody Dies In Their Nightmares,XXXTENTACION,"emo rap, miami hip hop"
Bad Boy (with Young Thug),Juice WRLD,"chicago rap, melodic rap"
Lo Vas A Olvidar (with ROSALÍA),Billie Eilish,"electropop, pop"
Floating Through Space,"Sia, David Guetta","australian dance, australian pop, dance pop, pop"
Cant Feel My Face,The Weeknd,"canadian contemporary r&b, canadian pop, pop"
You (with Marshmello & Vance Joy),benny blanco,"electropop, pop, pop rap"
Call Out My Name,The Weeknd,"canadian contemporary r&b, canadian pop, pop"
Midnight Sky,Miley Cyrus,"dance pop, pop, post-teen pop"
Pressure (feat. Tove Lo),Martin Garrix,"dance pop, dutch edm, edm, pop, pop dance, progressive house, tropical house"
Can You Feel My Heart,Bring Me The Horizon,"melodic metalcore, metalcore, rock, uk metalcore"
Agua de Jamaica,Maluma,"latin, reggaeton, reggaeton colombiano"
Mds,"Kawe, Mc Lele JP","brazilian hip hop, funk ostentacao"
Heartless,The Weeknd,"canadian contemporary r&b, canadian pop, pop"
pov,Ariana Grande,"dance pop, pop, post-teen pop"
Be Alright,Dean Lewis,"australian pop, indie cafe pop, pop, pop rock, post-teen pop"
Cry Baby (feat. DaBaby),Megan Thee Stallion,"houston rap, pop, pop rap, trap queen"
Mi Cuarto,Jerry Di,"cubaton, dominican pop, pop venezolano, reggaeton, reggaeton flow, trap latino"
Ohne Dich,"KASIMIR1441, badmómzjay, WILDBWOYS","german alternative rap, german hip hop, german trap, tekk"
"Gravity (feat. Tyler, The Creator)","Brent Faiyaz, DJ Dahi","dmv rap, pop, r&b, rap"
Vibez,ZAYN,"dance pop, pop, post-teen pop, uk pop"
"All I Want - From ""High School Musical: The Musical: The Series""",Olivia Rodrigo,pop
Daisy,Ashnikko,"electropop, escape room, pop"
Wasted On You,Morgan Wallen,contemporary country
La Jeepeta - Remix,"Nio Garcia, Anuel AA, Myke Towers, Brray, Juanka","latin, reggaeton, trap latino"
Los Dioses,"Anuel AA, Ozuna","latin, reggaeton, reggaeton flow, trap boricua, trap latino"
Si Me Tomo Una Cerveza,"Migrantes, Alico",cumbia pop
Somebodys Problem,Morgan Wallen,contemporary country
De Una Vez,Selena Gomez,"dance pop, pop, post-teen pop"
Way Out (feat. Big Sean),Jack Harlow,"deep underground hip hop, kentucky hip hop, pop rap, rap"
Diamonds,Sam Smith,"dance pop, pop, post-teen pop, uk pop"
Dancing in My Room,347aidan,sad rap
De Cora <3,"Rauw Alejandro, J Balvin","puerto rican pop, trap latino"
champagne problems,Taylor Swift,"pop, post-teen pop"
Go Crazy,"Chris Brown, Young Thug","dance pop, pop, pop rap, r&b, rap"
Reminds Me Of You,"Juice WRLD, The Kid LAROI","chicago rap, melodic rap"
Dont Play,"Anne-Marie, KSI, Digital Farm Animals","dance pop, pop, pop dance, post-teen pop, tropical house, uk pop"
MODO TURBO,"Luísa Sonza, Pabllo Vittar, Anitta",
Buss It,Erica Banks,trap queen
Kings & Queens,Ava Max,"dance pop, pop"
Lovesick Girls,BLACKPINK,"k-pop, k-pop girl group"
Caramelo,Ozuna,"latin, puerto rican pop, reggaeton, trap latino"
Deep End,Fousheé,"brooklyn drill, nyc rap"
Sand In My Boots,Morgan Wallen,contemporary country
865,Morgan Wallen,contemporary country
7 Summers,Morgan Wallen,contemporary country
HACIENDO QUE ME AMAS,Bad Bunny,"latin, reggaeton, trap latino"
La Luz,"Sech, J Balvin","latin, panamanian pop, reggaeton, trap latino"
The Woo (feat. 50 Cent & Roddy Ricch),Pop Smoke,brooklyn drill
More Than My Hometown,Morgan Wallen,contemporary country
Warning,Morgan Wallen,contemporary country
Recairei - Ao Vivo,Os Barões Da Pisadinha,"forro, piseiro"
Ice Cream (with Selena Gomez),BLACKPINK,"k-pop, k-pop girl group"
Be Kind (with Halsey),Marshmello,"brostep, edm, pop, pop dance, progressive electro house"
Fever,"Dua Lipa, Angèle","dance pop, pop, uk pop"
Angst,Apache 207,german hip hop
"no body, no crime (feat. HAIM)",Taylor Swift,"pop, post-teen pop"
Sunday Best,Surfaces,"bedroom soul, pop"
Amor ou o Litrão,"Petter Ferraz, Menor Nico",
Happier,"Marshmello, Bastille","brostep, edm, pop, pop dance, progressive electro house"
Dont Stop Me Now - Remastered 2011,Queen,"classic rock, glam rock, rock"
Azul,J Balvin,"latin, reggaeton, reggaeton colombiano"
Basta Você Me Ligar - Ao Vivo,"Os Barões Da Pisadinha, Xand Avião","forro, piseiro"
Tequila Shots,Kid Cudi,"hip hop, ohio hip hop, pop rap, rap"
Lose Control,"MEDUZA, Becky Hill, Goodboys","dance pop, edm, pop dance, pop house, tropical house"
I CANT STOP ME,TWICE,"k-pop, k-pop girl group"
E-GIRLS ARE RUINING MY LIFE!,"CORPSE, Savage Ga$p","dream smp, viral rap"
All I Want for Christmas Is You,Mariah Carey,"dance pop, pop, r&b, urban contemporary"
Last Christmas,Wham!,"disco, europop, new romantic, new wave, new wave pop, soft rock, synthpop"
Santa Tell Me,Ariana Grande,"dance pop, pop, post-teen pop"
Rockin Around The Christmas Tree,Brenda Lee,"adult standards, brill building pop, easy listening, lounge, rockabilly, vocal jazz"
Jingle Bell Rock,Bobby Helms,
Its Beginning to Look a Lot like Christmas,Michael Bublé,"adult standards, canadian pop, jazz pop, lounge"
Its the Most Wonderful Time of the Year,Andy Williams,"adult standards, brill building pop, easy listening, lounge, mellow gold, vocal jazz"
Underneath the Tree,Kelly Clarkson,"dance pop, neo mellow, pop, pop rock, post-teen pop, talent show"
Feliz Navidad,José Feliciano,"latin pop, puerto rican pop"
Let It Snow! Let It Snow! Let It Snow!,Dean Martin,"adult standards, easy listening, lounge, vocal jazz"
Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,"adult standards, easy listening, lounge"
Mistletoe,Justin Bieber,"canadian pop, pop, post-teen pop"
Sleigh Ride,The Ronettes,
Do They Know Its Christmas? - 1984 Version,Band Aid,musical advocacy
Wonderful Christmastime - Edited Version / Remastered 2011,Paul McCartney,"album rock, art rock, beatlesque, classic rock, mellow gold, rock, soft rock"
Holly Jolly Christmas,Michael Bublé,"adult standards, canadian pop, jazz pop, lounge"
Happy Xmas (War Is Over) - Remastered 2010,"John Lennon, Yoko Ono","album rock, art rock, beatlesque, classic rock, folk rock, mellow gold, rock"
Driving Home for Christmas - 2019 Remaster,Chris Rea, 
The Christmas Song (Merry Christmas To You),Nat King Cole,"adult standards, lounge, soul, vocal jazz"
White Christmas,"Bing Crosby, Ken Darby Singers, John Scott Trotter & His Orchestra","adult standards, easy listening, lounge, swing, vocal jazz"
Slay3r,Playboi Carti,"atl hip hop, plugg, rap, trap"
A Holly Jolly Christmas - Single Version,Burl Ives,"adult standards, american folk revival"
Fairytale of New York (feat. Kirsty MacColl),The Pogues,"celtic, celtic punk, celtic rock, folk punk, irish folk, punk"
Merry Christmas Everyone,Shakin Stevens,"classic uk pop, new wave pop, rock-and-roll, rockabilly, soft rock"
Blue Christmas,Elvis Presley,"rock-and-roll, rockabilly"
Run Rudolph Run - Single Version,Chuck Berry,
Santa Claus Is Coming To Town,The Jackson 5,
Santa Baby,Kylie Minogue,"australian dance, australian pop, dance pop, electropop, eurodance, europop, new wave pop, pop"
Its Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),"Perry Como, The Fontane Sisters","adult standards, brill building pop, easy listening, lounge, vocal jazz"
Christmas (Baby Please Come Home),Darlene Love,
Step Into Christmas,Elton John,"glam rock, mellow gold, piano rock"
Show Out (with Skepta & Pop Smoke),Kid Cudi,"hip hop, ohio hip hop, pop rap, rap"
Investe Em Mim,Jonas Esticado,"forro, sertanejo, sertanejo pop, sertanejo universitario"
Lance Individual,Jorge & Mateus,"sertanejo, sertanejo universitario"
Jingle Bell Rock - Daryls Version,Daryl Hall & John Oates,"album rock, classic rock, mellow gold, rock, soft rock, yacht rock"
Thank God Its Christmas - Non-Album Single,Queen, 
Christmas Lights,Coldplay,"permanent wave, pop"
Have Yourself A Merry Little Christmas,Sam Smith,"dance pop, pop, post-teen pop, uk pop"
Santas Coming for Us,Sia,"australian dance, australian pop, dance pop, pop"
My Only Wish (This Year),Britney Spears,"dance pop, pop, post-teen pop"
"Baby, Its Cold Outside (feat. Meghan Trainor)",Brett Eldredge,"contemporary country, country, country road, modern country rock"
Like Its Christmas,Jonas Brothers,"boy band, dance pop, pop, post-teen pop"
Christmas Without You,Ava Max,"dance pop, pop"
You Make It Feel Like Christmas (feat. Blake Shelton),Gwen Stefani,"dance pop, hip pop, pop, post-teen pop, urban contemporary"
Gnat,Eminem,"detroit hip hop, hip hop, rap"
Joy To The World,Nat King Cole,
Santa Claus Is Coming to Town,Michael Bublé,"adult standards, canadian pop, jazz pop, lounge"
Baby Its Cold Outside (duet with Michael Bublé),Idina Menzel,"hollywood, show tunes"
tis the damn season,Taylor Swift,"pop, post-teen pop"
I Saw Mommy Kissing Santa Claus,The Jackson 5,"motown, soul"
Santa Baby (with Henri René & His Orchestra),"Eartha Kitt, Henri Rene & His Orchestra","adult standards, lounge, torch song, vocal jazz"
Carol of the Bells,"Mykola Dmytrovych Leontovych, John Williams",soundtrack
gold rush,Taylor Swift,"pop, post-teen pop"
What Christmas Means To Me,Stevie Wonder,
The Christmas Song (Shawn Mendes & Camila Cabello),Shawn Mendes,"canadian pop, dance pop, pop, post-teen pop, viral pop"
"Baby, Its Cold Outside",Dean Martin,"adult standards, easy listening, lounge, vocal jazz"
"Santa Claus Is Comin to Town - Live at C.W. Post College, Greenvale, NY - December 1975",Bruce Springsteen,"classic rock, heartland rock, mellow gold, permanent wave, rock, singer-songwriter"
One More Sleep,Leona Lewis,"british soul, dance pop, europop, pop, post-teen pop, talent show"
Little Saint Nick - 1991 Remix,The Beach Boys,
Naughty List (with Dixie),Liam Payne,"dance pop, pop, post-teen pop"
Ill Be Home,Meghan Trainor,"dance pop, hip pop, pop, post-teen pop"
Rudolph The Red-Nosed Reindeer,Dean Martin,"adult standards, easy listening, lounge, vocal jazz"
Mistletoe And Holly - Remastered 1999,Frank Sinatra,"adult standards, easy listening, lounge"
Jingle Bells - Remastered 1999,Frank Sinatra,"adult standards, easy listening, lounge"
Oh Santa! (feat. Ariana Grande & Jennifer Hudson),Mariah Carey,"dance pop, pop, r&b, urban contemporary"
Do You Hear What I Hear? - Remastered 2006,Bing Crosby,"adult standards, easy listening, lounge, swing, vocal jazz"
Hallelujah,Pentatonix,a cappella
This Christmas,Donny Hathaway,"chicago soul, classic soul, funk, motown, neo soul, quiet storm, soul, southern soul"
Winter Wonderland,Tony Bennett,"adult standards, easy listening, lounge, vocal jazz"
Christmas Tree Farm,Taylor Swift,"pop, post-teen pop"
Cozy Little Christmas,Katy Perry,"dance pop, pop, post-teen pop"
"Merry Christmas, Happy Holidays",*NSYNC,"boy band, dance pop, pop, post-teen pop"
tolerate it,Taylor Swift,"pop, post-teen pop"
Please Come Home for Christmas - 2013 Remaster,Eagles,"album rock, classic rock, country rock, folk rock, heartland rock, mellow gold, rock, soft rock, yacht rock"
My Kind Of Present,Meghan Trainor,"dance pop, hip pop, pop, post-teen pop"
happiness,Taylor Swift,"pop, post-teen pop"
ivy,Taylor Swift,"pop, post-teen pop"
dorothea,Taylor Swift,"pop, post-teen pop"
coney island (feat. The National),Taylor Swift,"pop, post-teen pop"
evermore (feat. Bon Iver),Taylor Swift,"pop, post-teen pop"
long story short,Taylor Swift,"pop, post-teen pop"
cowboy like me,Taylor Swift,"pop, post-teen pop"
marjorie,Taylor Swift,"pop, post-teen pop"
closure,Taylor Swift,"pop, post-teen pop"
She Knows This,Kid Cudi,"hip hop, ohio hip hop, pop rap, rap"
Another Day,Kid Cudi,"hip hop, ohio hip hop, pop rap, rap"
"Solo Dolo, Pt. III",Kid Cudi,"hip hop, ohio hip hop, pop rap, rap"
Dive,Kid Cudi,"hip hop, ohio hip hop, pop rap, rap"
Heaven On Earth,Kid Cudi,"hip hop, ohio hip hop, pop rap, rap"
Sad People,Kid Cudi,"hip hop, ohio hip hop, pop rap, rap"
Damaged,Kid Cudi,"hip hop, ohio hip hop, pop rap, rap"
YO VISTO ASÍ,Bad Bunny,"latin, reggaeton, trap latino"
Beautiful Trip,Kid Cudi,"hip hop, ohio hip hop, pop rap, rap"
The Void,Kid Cudi,"hip hop, ohio hip hop, pop rap, rap"
cardigan,Taylor Swift,"pop, post-teen pop"
Real Shit (with benny blanco),Juice WRLD,"chicago rap, melodic rap"
Teach Me How To Love,Shawn Mendes,"canadian pop, dance pop, pop, post-teen pop, viral pop"
Blinding Lights (with ROSALÍA) - Remix,The Weeknd,"canadian contemporary r&b, canadian pop, pop"
"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","Tory Lanez, Jack Harlow","canadian hip hop, canadian trap, melodic rap, pop rap, r&b, rap, toronto rap, trap"
TE DESEO LO MEJOR,Bad Bunny,"latin, reggaeton, trap latino"
Errbody,Lil Baby,"atl hip hop, atl trap, rap, trap"
Angels Like You,Miley Cyrus,"dance pop, pop, post-teen pop"
Blue & Grey,BTS,"k-pop, k-pop boy group"
Mad at Disney,salem ilese,"alt z, modern indie pop, social media pop"
Safaera,"Bad Bunny, Jowell & Randy, Ñengo Flow","latin, reggaeton, trap latino"
LA DROGA,Bad Bunny,"latin, reggaeton, trap latino"
GO (feat. Juice WRLD),The Kid LAROI,australian hip hop
Jenny (I Wanna Ruin Our Friendship),Studio Killers,
"Mood (Remix) feat. Justin Bieber, J Balvin & iann dior",24kGoldn,cali rap
HOY COBRÉ,Bad Bunny,"latin, reggaeton, trap latino"
MALDITA POBREZA,Bad Bunny,"latin, reggaeton, trap latino"
EL MUNDO ES MÍO,Bad Bunny,"latin, reggaeton, trap latino"
ANTES QUE SE ACABE,Bad Bunny,"latin, reggaeton, trap latino"
SORRY PAPI,"Bad Bunny, ABRA","latin, reggaeton, trap latino"
120,Bad Bunny,"latin, reggaeton, trap latino"
TRELLAS,Bad Bunny,"latin, reggaeton, trap latino"
Wonderful Christmastime Edited Version - Remastered 2011 / Edited Version,Paul McCartney,"album rock, art rock, beatlesque, classic rock, mellow gold, rock, soft rock"
Fly To My Room,BTS,"k-pop, k-pop boy group"
Telepathy,BTS,"k-pop, k-pop boy group"
Dis-ease,BTS,"k-pop, k-pop boy group"
Stay,BTS,"k-pop, k-pop boy group"
Heart Of Glass (Live from the iHeart Festival),Miley Cyrus,"dance pop, pop, post-teen pop"
CANTARES DE NAVIDAD,Trio Vegabajeño,"latin, reggaeton, trap latino"
Plastic Hearts,Miley Cyrus,"dance pop, pop, post-teen pop"
CÓMO SE SIENTE - Remix,"Jhay Cortez, Bad Bunny","latin, reggaeton, trap latino"
Skit,BTS,"k-pop, k-pop boy group"
Baby (with J Balvin),Sfera Ebbasta,"italian hip hop, italian pop, trap italiana"
Tick Tock (feat. 24kGoldn),"Clean Bandit, Mabel","dance pop, edm, pop, pop dance, post-teen pop, tropical house, uk dance, uk funky"
Dime Cómo Quieres,"Christian Nodal, Ángela Aguilar","mariachi, nuevo regional mexicano, ranchera, regional mexican"
Tik Tok (feat. Marracash & Guè Pequeno),Sfera Ebbasta,"italian hip hop, italian pop, trap italiana"
Jerusalema (feat. Nomcebo Zikode),Master KG,south african house
