Series_Title,Runtime_of_Series,Certificate,Genre,IMDB_Rating,Overview,Star1,Star2,Star3,Star4
Tash ma Tash,(1992–2011),,"Comedy, Drama",8.8,Follows two guys and their adventures in Kingdom Of Saudi Arabia.,Abdullah Al-Sadhan,Nasser Al Qasabi,Abdullah Al Sinani,Fahad Olayan
In the Dark,(2019– ),13,"Comedy, Crime, Drama",7.5,"A young, blind woman tries to solve her friend's murder.",Perry Mattfeld,Rich Sommer,Brooke Markham,Morgan Krantz
Gullak,(2019– ),12,"Comedy, Drama, Family",9.1,"Set in quaint by-lanes in the heart of India, Gullak is a collection of disarming and relatable tales of the Mishra family.",Jameel Khan,Geetanjali Kulkarni,Vaibhav Raj Gupta,Harsh Mayar
Adam Ruins Everything,(2015– ),,"Animation, Comedy, History",8,"Iconoclastic Adam Conover from CollegeHumor turns life as we know it on its ear by showing us how unnecessary, and sometimes horrible, things we think we know to be real and true really are.",Adam Conover,Adam Lustick,Emily Axford,Amos Vernon
The Late Late Show with James Corden,(2015– ),,"Comedy, Talk-Show",6.1,"A late-night talk show with a different interview format, where guests appear on stage simultaneously and the host sits to the left and not behind a desk, and with original segments like 'Carpool Karaoke'.",James Corden,Reggie Watts,Louis Waymouth,Harry Styles
Kono subarashii sekai ni shukufuku o!,(2016–2017),16,"Animation, Adventure, Comedy",7.8,It was a happy day for Kazuma - right up to the moment he died. A goddess intervenes and offers him a second chance in a magical land.,Jun Fukushima,Sora Amamiya,Rie Takahashi,Ai Kayano
Beauty and the Beast,(1987–1990),,"Crime, Fantasy, Drama",7,"The adventures and romance of a sensitive and cultured lion-man and a crusading assistant district attorney in Manhattan, New York City.",Ron Perlman,Roy Dotrice,Jay Acovone,Linda Hamilton
Dickinson,(2019– ),A,"Biography, Comedy, Drama",7.3,An inside look at the world of writer Emily Dickinson.,Hailee Steinfeld,Adrian Enscoe,Anna Baryshnikov,Jane Krakowski
Saving Hope,(2012–2017),,"Drama, Fantasy",7.5,A supernatural medical drama that centers on the lives of the doctors and nurses of Hope Zion Hospital.,Erica Durance,Michael Shanks,Benjamin Ayres,Julia Chan
Due South,(1994–1999),,"Adventure, Comedy, Crime",8,The adventures of an impossibly upright Royal Canadian Mounted Police constable and his American colleagues in the city of Chicago.,Paul Gross,Beau Starr,Tony Craig,David Marciano
Beforeigners,(2019– ),,"Crime, Drama, Sci-Fi",7.8,"HBO Nordic's first original series from Norway, Beforeigners is about two persons who mysteriously appear in Oslo. They are the first of many from the past to seek refuge in present time. Seven years later the community is transformed.",Nicolai Cleve Broch,Krista Kosonen,Ágústa Eva Erlendsdóttir,Stig R. Amdam
Powers,(2015–2016),,"Action, Crime, Drama",6.7,"Set in a world where humans and super heroes co-exist, a homicide detective, who had his own powers taken from him, investigates crimes involving superhumans along with his partner.",Sharlto Copley,Susan Heyward,Noah Taylor,Eddie Izzard
Love/Hate,(2010–2014),,"Crime, Drama",8.5,"The story of the organized crime scene of Dublin is revealed, centered on Darren, who wants to stay out of trouble but ends up returning to his old habits and his old gang.",Tom Vaughan-Lawlor,Killian Scott,Aoibhinn McGinnity,Charlie Murphy
The Thin Blue Line,(1995–1996),,"Comedy, Crime",7.5,"Various mishaps at a police station in an English town. The main character is the anachronistic, yet charming and funny Inspector Fowler. CID foil to Fowler, Inspector Grim is a bumbling, seething idiot.",Rowan Atkinson,Mina Anwar,James Dreyfus,Serena Evans
Relic Hunter,(1999–2002),,"Fantasy, Mystery, Adventure",6.6,"Sydney Fox is a university professor and black belt who globe-trots after lost, stolen and rumored to exist artifacts and antiquities.",Tia Carrere,Christien Anholt,Lindy Booth,Tanja Reichert
Crashing,(2017–2019),,"Comedy, Drama",7.5,A New York comic is forced to make a new start for himself after his wife leaves him.,Pete Holmes,George Basil,Jamie Lee,Artie Lange
Emergence,(2019–2020),,"Drama, Mystery, Sci-Fi",7.2,A police chief investigates a case involving a young child found near the site of a mysterious accident.,Allison Tolman,Alexa Swinton,Owain Yeoman,Ashley Aufderheide
Survivorman,(2004– ),,"Documentary, Adventure",8.2,"No food, no shelter, no fresh water - one man alone in the wild for seven days with only his wits and stamina to sustain him.",Les Stroud,Todd Standing,Logan Stroud,Sam Omik
Fate/stay night: Unlimited Blade Works,(2014–2015),16,"Animation, Action, Fantasy",8,"A group of seven mages gets chosen to become masters of seven classes of heroic spirits, in order to fight and win the Holy Grail.",Mela Lee,Bryce Papenbrook,Noriaki Sugiyama,Kana Ueda
Yalan Dünya,(2012–2014),,Comedy,7.1,Humorous way of life with three different family having diversified lifestyle habits.,Gülse Birsel,Altan Erkekli,Füsun Demirel,Olgun Simsek
Space Ghost Coast to Coast,(1993–2011),,"Animation, Comedy, Sci-Fi",7.9,"Space Ghost, a superhero from a 1960s Hanna-Barbara cartoon, hosts his own talk show.",George Lowe,C. Martin Croker,Andy Merrill,Don Kennedy
Jeopardy!,(1984– ),,Game-Show,8.2,A returning champion and two challengers test their buzzer skills and their knowledge in a wide range of academic and popular categories.,Alex Trebek,Johnny Gilbert,Jimmy McGuire,Sarah Whitcomb Foss
Friends with Better Lives,-2014,,Comedy,7,A comedy centered around six 30-something friends who each think the other has it better.,James Van Der Beek,Majandra Delfino,Zoe Lister-Jones,Brooklyn Decker
Still Game,(2002–2019),,Comedy,8.8,"Cult Scottish comedy about the lives of two OAP's Jack and Victor and their views on how it used to be in the old days and how bad it is now in the fictional area of Craiglang, Glasgow.",Ford Kiernan,Greg Hemphill,Paul Riley,Gavin Mitchell
Little Britain USA,-2008,,Comedy,7.6,"The characters of the original 'Little Britain' and some new characters feature in this comedic exploration of the modern American society from, and starring, British comedians Matt Lucas and David Walliams.",Matt Lucas,David Walliams,Tom Baker,Brett Gentile
Not Going Out,(2006– ),,Comedy,7.6,"The mishaps of slacker Lee, Lee's best mate Tim, Lee's long-suffering landlady and the love of Lee's life, Lucy, and Tim's well-meaning but dim-witted girlfriend Daisy.",Lee Mack,Sally Bretton,Katy Wix,Tim Vine
Days of Our Lives,(1965– ),,"Drama, Romance",5.1,"A chronicle of the lives, loves, trials and tribulations of the citizens of the fictional city of Salem.",Frances Reid,Deidre Hall,John Clarke,John Aniston
All American,(2018– ),,"Drama, Sport",7.7,"When a star high school football player from South Central is recruited to play for Beverly Hills High School, two separate worlds collide.",Daniel Ezra,Samantha Logan,Michael Evans Behling,Taye Diggs
Itaewon Keullasseu,-2020,16,"Drama, Romance",8.2,The story of Park Sae Ro Yi who opens a restaurant in Itaewon.,Park Seo-Joon,Kim Da-Mi,Yoo Jae-Myung,Nara
