Name,Artist,Genre
Aamay Bhakti De Maa,Parikshit Bala,Devotional
Tumi Jake Bhalobaso,Anupam Roy,Emotional
Tumi Jake Bhalobaso,Iman Chakraborty,Emotional
Raja Ranir Bhalo Hok,Shreya Ghoshal,Emotional
Sorry,Somlata Acharyya Chowdhury,Emotional
Koto Ki Thaklo Baki,Timir Biswas,Emotional
Choddobesh,Raj Barman,Emotional
Gahar Aaja Master,Arijit Singh,Emotional
Tomaay Ami Mando Bashi,Rupankar Bagchi,Emotional
E Tumi Kemon Tumi,Rupankar Bagchi,Emotional
Majhi Re,Shaan,Emotional
Prem je Buker Majhe Koto Jhor Tole,Javed Ali,Emotional
Mon Kyamoner Ashiayana,Rekha Bhardwaj,Emotional
Pherari Mon,"Shreya Ghoshal, Babul Supriyo",Emotional
Boba Tunnel,Anupam Roy,Emotional
Aami Raji,"Anupam Roy, Arijit Singh",Emotional
Ekta Golpo,Anupam Roy,Emotional
Ekta Siri Bhangar Anko,Anupam Roy,Emotional
Ami Jodi Bhir Hoye Jai,Ishita Chakravarty,Emotional
Aaj Tui Ekla,Abhishek Sinha Roy,Emotional
Mone Porle,Arijit Singh,Emotional
Aaj Ei Dintake,Kishore Kumar,Emotional
Mon Pakhi Tui Naki Bhebechhish Ure Jabi,Raghab,Emotional
Meera,Rahul Dutta,Rap
Nazrin,Pradipto Haider,Rap
Tomar e Toh Kachhe,Anindya Chattopadhyay,Rap
Amar Aguner Chhai,Raj Barman,Rap
O Mon Re,Tanveer Evan,Rap
Kichu Kichu Kotha,Iman Chakraborty,Rap
Priyotama,Anirban Bhattacharya,Rap
O Jibon Tomar Sathe,Imon Chakraborty,Rap
Kichchu Chaini aami,Madhubanti Bagchi,Rap
Keno Bhulte Parchi Na,Abir Biswas,Rap
Shboai Chup,Sahana Bajpaie,Rap
Raat Pohale,Ishan Mitra,Rap
Radha,Rahul Dutta,Rap
Abar Jonmo Nebo,Ishan Mitra,Rap
Ektu Jontronay,Rahul Majumdar,Rap
Alote Alote Dhaka,Anupam Roy,Rap
O Je Mane Na Mana,Dev Arijit,Rap
Nalish,Keshab Dey,Rap
Eka Din,Minar Rahman,Rap
Tor Kotha-Tera Zikr,Darshan Raval,Rap
Jawkhon Porbena Mor,Rupankar Bagchi,Rap
Bhalobeshe Shokhi,Saurav Das,Rap
Kete Jay Raat,Madhuri Dey,Rap
Chele Dhora,Jhumur Chatterjee,Rap
Kobe Ashbe,Ishaan,Rap
Ami Palte Jaini Aajo,Barenya Saha,Rap
Pagli,Rudraneel Chowdhury,Rap
Mon Majhi Re,Arijit Singh,Rap
Amar prothom Prem,Sanket Das,Rap
Jani Dekha Hobe,Sneha Bhattacharya,Rap
Saiyyan Re,Ishaan Mitra,Rap
Bhabchi Joto Tomake,Riya Baichi,Rap
Shanto Hou,Anupam Roy,Rap
Tomay Chhobo Bole,Hillol Acharjee,Rap
Bolo Na Radhika,Monali Thakur,Rap
Tumi Chole Gele,Rajkumar Sengupta,Rap
Chole Jaay Chhayapoth,Rupankar Bagchi,Rap
Aral Theke,Writorshi Bhattacharya,Rap
Tumi Jeona Ehon E,Ranajoy Bhattacharjee,Rap
Tui Sukhe Thak,Pijush Chakraborty,Rap
Onho Hoye Jaao,Ishaan Mitra,Rap
Raater Obokash,Akash Mondal,Rap
Chole Geleo,Anurag Haider,Rap
Bristir Kanna,Rajkumar,Rap
Hey Ishwar,Priyotosh Banerjee,Rap
Sawariyaa,Sirsshhaa Rakshit,Rap
Party With Bholenath,Tanmoy Saadhak,Rap
Chaap Ache Boss,"Rupankar Bagchi, Cizzy",Rap
Bangla Agun,"Cizzy, AayondaB",Rap
Atmanirbhar,AK 47,Rap
(E)Belgharia Maslandapur,"JasonX, Anuz",Rap
Inquilaab,"Bluesanova, Cizzy, Logarhythm, Maharya",Rap
Manush Bhalo Nei,"Anupam Roy, Cizzy",Rap
Bhallagche,"Cizzy, Yung",Rap
Headphone,Ron-E,Rap
(E)Jhamela Nai,Bhanga Bangla,Rap
Jacche Tai,"Mcc-e Mac, Sifat Al Mostakim",Rap
Gobhire,Mcc-e Mac,Rap
(E) Matha ta Fatabo,Bhanga Bangla,Rap
Side De Bhai,Ron-E,Rap
Choto,"Yaman, Cizzy",Rap
Hip Hop Gene,Deadly Papps,Rap
Change Hobe Puro Scene Feat. Cizzy,"Cizzy, Skipster",Rap
Ghurpak,Dorpon Rvs,Rap
Dil Ki Doya,"Arkadeep Mishra, EPR lyer",Rap
Jhul Mama,Cizzy,Rap
Baul Geet,"Mcc-e Mac, GK kibria, Somrat SiJ",Rap
Sedin Dujone,Deadly Papps,Rap
Sujon Re,"Pablo, Arin Dez, Punkstah, Soham Mallick",Rap
Jatrabari More (feat. Rifat),"Saif Khan, Rifat",Rap
Bhangar Amar,Deadly Papps,Rap
(E) Ke Ki Chay,Stoic Bliss,Rap
Jonmechi Shongrame,"Raz Dee, Cizzy",Rap
Who Knew,"Black Zang, Mogz",Rap
Welcome to India the Migrant Rap,Tina Ghoshal,Rap
(E) No Boundaries,"Black Zang, Dee MC",Rap
(E) Bomb a Drop,"DJ Raf, I-Sick, Dee Corter",Rap
Cipher Bangla 2K16,IRFU,Rap
